Monetary,Cluster_KMeans,review_score,is_late,total_payment,churn_reel,score_churn,churn_predit,zone_risque
331.15,1,5.0,0,331.15,0,0.20404705,0,Vert — Faible risque
291.1,0,5.0,0,97.92,0,0.00026434014,0,Vert — Faible risque
50.12,1,5.0,0,50.12,0,0.076306865,0,Vert — Faible risque
136.3,1,1.0,1,136.3,1,0.99994206,1,Rouge — Haut risque
42.27,1,5.0,0,42.27,1,0.9999187,1,Rouge — Haut risque
606.57,1,5.0,0,606.57,0,0.14705847,0,Vert — Faible risque
272.64,1,1.0,0,272.64,1,0.44748703,0,Jaune — Risque modéré
378.18,1,5.0,0,378.18,1,0.999892,1,Rouge — Haut risque
144.4,1,1.0,1,144.4,1,0.99992025,1,Rouge — Haut risque
220.2,1,1.0,0,220.2,1,0.9998374,1,Rouge — Haut risque
81.16,1,5.0,0,81.16,1,0.99991703,1,Rouge — Haut risque
84.79,1,4.0,0,84.79,1,0.9997789,1,Rouge — Haut risque
37.53,1,2.0,0,37.53,1,0.999949,1,Rouge — Haut risque
133.64,1,2.0,0,133.64,1,0.960864,1,Rouge — Haut risque
567.52,1,5.0,0,567.52,0,0.67640656,1,Jaune — Risque modéré
17.61,1,5.0,0,17.61,1,0.44155413,0,Jaune — Risque modéré
132.08,1,5.0,0,132.08,1,0.99990284,1,Rouge — Haut risque
325.01,1,3.0,0,325.01,0,0.25518867,0,Vert — Faible risque
216.64,1,5.0,0,216.64,1,0.72009677,1,Rouge — Haut risque
120.9,1,2.0,1,120.9,1,0.9999484,1,Rouge — Haut risque
1355.73,1,5.0,0,1355.73,1,0.999798,1,Rouge — Haut risque
173.22,1,4.0,0,173.22,0,0.15438072,0,Vert — Faible risque
62.41,1,5.0,0,62.41,1,0.9997737,1,Rouge — Haut risque
46.2,1,5.0,0,46.2,0,0.005567416,0,Vert — Faible risque
63.2,1,1.0,0,63.2,1,0.9998629,1,Rouge — Haut risque
708.28,1,1.0,0,708.28,1,0.99981636,1,Rouge — Haut risque
82.43,1,4.0,0,82.43,1,0.7449799,1,Rouge — Haut risque
79.33,1,5.0,0,79.33,1,0.99989355,1,Rouge — Haut risque
73.36,1,1.0,0,73.36,1,0.9998622,1,Rouge — Haut risque
196.49,1,3.0,0,196.49,0,0.018328069,0,Vert — Faible risque
331.21,1,5.0,0,331.21,1,0.9989936,1,Rouge — Haut risque
103.65,1,5.0,0,103.65,0,0.257354,0,Vert — Faible risque
244.29,0,5.0,0,162.41,0,0.00071442244,0,Vert — Faible risque
213.7,0,1.0,0,109.4,0,0.00029054092,0,Vert — Faible risque
187.06,1,4.0,0,187.06,1,0.54109895,1,Jaune — Risque modéré
33.51,1,5.0,0,33.51,1,0.9999378,1,Rouge — Haut risque
64.0,1,5.0,0,64.0,1,0.9999349,1,Rouge — Haut risque
42.32,1,5.0,0,42.32,1,0.62641346,1,Jaune — Risque modéré
206.18,1,5.0,0,206.18,0,0.26957464,0,Vert — Faible risque
210.85,1,1.0,0,210.85,1,0.9998776,1,Rouge — Haut risque
32.38,1,5.0,1,32.38,1,0.99991786,1,Rouge — Haut risque
132.48,1,5.0,0,132.48,1,0.9997322,1,Rouge — Haut risque
118.53,1,5.0,0,118.53,0,0.07404068,0,Vert — Faible risque
79.24,1,4.0,0,79.24,1,0.9999503,1,Rouge — Haut risque
17.38,1,5.0,0,17.38,0,0.0058331657,0,Vert — Faible risque
147.41,1,5.0,0,147.41,1,0.9996191,1,Rouge — Haut risque
60.72,1,4.0,0,60.72,1,0.9999579,1,Rouge — Haut risque
189.56,1,4.0,0,189.56,1,0.9999367,1,Rouge — Haut risque
56.5,1,5.0,0,56.5,1,0.9997681,1,Rouge — Haut risque
112.42,1,4.0,0,112.42,1,0.63096815,1,Jaune — Risque modéré
141.53,1,5.0,0,141.53,0,0.40114814,0,Jaune — Risque modéré
256.2,1,5.0,0,256.2,1,0.99990845,1,Rouge — Haut risque
579.78,0,2.0,1,175.9,0,0.00018401095,0,Vert — Faible risque
133.47,1,5.0,0,133.47,1,0.7027332,1,Rouge — Haut risque
201.84,1,5.0,0,201.84,1,0.99990714,1,Rouge — Haut risque
231.86,1,4.0,0,231.86,1,0.99993765,1,Rouge — Haut risque
31.17,1,4.0,0,31.17,1,0.99992514,1,Rouge — Haut risque
67.62,1,5.0,0,67.62,1,0.6519102,1,Jaune — Risque modéré
101.14,1,3.0,0,101.14,1,0.80117995,1,Rouge — Haut risque
122.15,1,5.0,0,122.15,1,0.9998863,1,Rouge — Haut risque
428.0,1,5.0,0,428.0,1,0.99978155,1,Rouge — Haut risque
110.98,1,1.0,1,110.98,1,0.54931635,1,Jaune — Risque modéré
74.22,1,5.0,0,74.22,1,0.9999101,1,Rouge — Haut risque
77.66,1,4.0,0,77.66,1,0.77084285,1,Rouge — Haut risque
170.19,1,5.0,0,170.19,1,0.99983275,1,Rouge — Haut risque
33.77,1,5.0,0,33.77,1,0.99998486,1,Rouge — Haut risque
68.89,1,3.0,0,68.89,1,0.87819976,1,Rouge — Haut risque
715.28,1,5.0,0,715.28,1,0.99979025,1,Rouge — Haut risque
149.89,1,5.0,0,149.89,1,0.731826,1,Rouge — Haut risque
50.4,1,3.0,0,50.4,0,0.7534689,1,Rouge — Haut risque
112.64,1,5.0,0,112.64,1,0.99985933,1,Rouge — Haut risque
58.69,1,5.0,0,58.69,1,0.6391378,1,Jaune — Risque modéré
100.34,1,5.0,0,100.34,1,0.9999374,1,Rouge — Haut risque
205.26,1,5.0,0,205.26,1,0.9998697,1,Rouge — Haut risque
88.11,1,3.0,0,88.11,0,0.06584618,0,Vert — Faible risque
254.59,0,5.0,0,169.44,0,0.00038777821,0,Vert — Faible risque
112.81,1,5.0,0,112.81,1,0.9999162,1,Rouge — Haut risque
39.03,1,5.0,0,39.03,1,0.9999603,1,Rouge — Haut risque
56.92,1,4.0,0,56.92,1,0.9999248,1,Rouge — Haut risque
236.56,1,5.0,0,236.56,1,0.9998399,1,Rouge — Haut risque
195.74,0,5.0,0,117.85,0,0.001221268,0,Vert — Faible risque
58.98,1,5.0,0,58.98,1,0.77293694,1,Rouge — Haut risque
110.98,1,5.0,0,110.98,1,0.6129576,1,Jaune — Risque modéré
138.48,1,1.0,0,138.48,0,0.31233838,0,Vert — Faible risque
471.33,1,1.0,0,471.33,1,0.7988859,1,Rouge — Haut risque
101.2,1,4.0,0,101.2,1,0.7334753,1,Rouge — Haut risque
56.78,1,3.0,0,56.78,1,0.87345666,1,Rouge — Haut risque
103.13,1,4.0,0,103.13,0,0.70401055,1,Rouge — Haut risque
117.85,1,5.0,0,117.85,1,0.99989355,1,Rouge — Haut risque
27.75,1,1.0,1,27.75,1,0.9999832,1,Rouge — Haut risque
127.92,1,5.0,0,127.92,1,0.99994695,1,Rouge — Haut risque
182.83,1,1.0,1,182.83,0,0.40203714,0,Jaune — Risque modéré
